0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.056454072,0.07265146,-0.219000998,-0.099444191,-0.447301437,0.085513201,0.071062439,-0.234309443,0.140298469,-0.086249157,-0.136424789,-0.224397038,0.074432039,0.086234005,0.130806444,0.017347547,-0.254831808,-0.015849616,0.058672983,-0.119261147,-0.015653359,-0.13191787,-0.307211778,-0.126089957,0.072900108,0.072478058,0.200306395,0.172609995,0.00635229,-0.118800969,-0.260706678,0.100789771,0.062659773,0.017867349,0.061629849,0.069535138,0.066006581,0.019702727,0.052803702,-0.112555327,0.065119808,0.084912441,0.030896211,-0.102158409,-0.059356245,-0.00611525,0.112630513,-0.023160676,0.014298837,-0.227231691,0.102829767,-0.007262361,-0.013872322,0.152218589,0.246774234,-0.166597508,0.570807181,0.312633621,0.310863192,-0.173271057,0.034080079,-0.119123956,0.190649346,-0.168599203,0.039689247,-0.137773223,-0.026208415,0.272738678,-0.056925528,0.196753295,-0.002479745,0.046815546,0.495776928,0.061197503,-0.047327361,-0.277813187,0.186741911,0.04629298,0.059806176,-0.017472219,-0.09241418,0.058064292,0.112648513,-0.001840934,-0.002870805,0.082059972,0.041319668,-0.087364541,0.144415783,0.050482916,-0.252143194,-0.10192223,-0.281134151,-0.360051749,-0.109396592,0.059208942,-0.081349494,-0.039059073,0.225864706,0.094179754
-0.049523821,0.040685564,-0.205907138,-0.044016848,-0.285400185,0.161238759,-0.145140068,-0.133159517,0.0334587,-0.082391679,-0.115739545,-0.19892222,-0.060019573,0.055709187,-0.068713303,-0.084996149,-0.13042594,-0.082364443,0.196541789,0.016287761,0.050587754,-0.179358924,-0.195438834,-0.011025669,-0.061411167,0.091668445,0.070265683,0.118693056,0.020015824,-0.113793463,-0.130599265,0.038103561,0.210058395,0.049624702,0.105246504,-0.086139996,0.190613819,-0.018701546,0.177067795,-0.085440896,-0.043577061,0.075080323,0.054138336,-0.101604221,-0.064259675,0.052628647,0.080898746,-0.121342942,0.084096802,-0.156783653,0.020406509,-0.027894538,-0.016692277,0.049208004,0.062692956,-0.208303877,0.346165579,0.13878733,0.193266961,-0.148783832,0.054152854,-0.018835101,0.265785222,0.00300038,0.035011309,-0.142036798,0.039067635,0.091125144,-0.192972992,0.090985894,0.058943459,-0.011106935,0.378132279,0.007128128,-0.11214502,-0.243648062,-0.017586766,-0.02087291,-0.014770488,-0.016004349,0.138804656,-0.072916119,0.156455113,-0.025661264,0.151604732,-0.070409205,-0.060915585,0.011633693,0.048596896,0.029635472,-0.083370242,-0.005793581,-0.085304973,-0.102980859,0.014211129,0.139117184,-0.040087873,-0.067016749,0.144261842,0.023400137
-0.001461209,0.102390684,-0.150352385,-0.005112895,-0.103429444,-0.019567668,-0.133703244,-0.038200851,-0.021902258,0.03743896,0.010323166,0.035582542,0.026617933,0.031597697,-0.084507276,0.143727562,0.00856057,-0.022260115,0.089800623,-0.058231316,0.139409567,-0.03509779,-0.125415222,-0.016898603,-0.008726109,-0.180691523,0.06921284,-0.086528729,-0.000229534,-0.040907467,0.058585441,0.122686981,0.100269056,0.001293702,0.135106016,0.054477138,0.089157555,0.10123854,0.303098664,0.048350571,0.081387963,-0.026468289,0.01538703,-0.038210842,-0.059166165,-0.045774239,0.069872455,0.073115605,0.015186322,-0.178132627,0.049207601,0.056363644,-0.044884895,0.088988946,0.050466328,0.041829227,0.280082314,0.19191029,0.058457168,-0.183439936,-0.000902497,-0.078900438,0.064256973,-0.075741465,0.086573413,-0.138410593,-0.000940038,0.111193708,-0.043905869,0.07111141,0.076425157,0.155622134,0.266293944,0.094320075,-0.063739539,-0.138018299,0.063111156,-0.15439016,0.048006281,-0.020500767,0.010351708,0.025634138,0.079975666,0.04852712,-0.105974738,0.031296571,0.07090943,0.082233345,-0.039774498,0.039000629,0.003848684,-0.014531524,-0.104786309,-0.050607894,0.052843769,0.079483373,0.116216405,-0.025836844,-0.004461956,-0.109032784
-0.056348356,0.174552333,-0.037011789,0.094721167,-0.173158907,-0.03979724,-0.157341072,-0.214019906,-0.056443494,-0.098550887,-0.159570953,-0.201818369,-0.055981776,0.11329956,0.148898007,0.056619238,-0.067922043,0.067614796,0.073620988,0.081060424,-0.013538814,-0.048900408,-0.223214985,-0.137183997,0.042095498,-0.01470225,0.039804072,0.015575072,0.030903385,-0.103673133,-0.074277658,-0.016393625,0.036615927,-0.158168497,0.159762638,0.050458591,-0.255975593,0.027764483,-0.005672519,-0.021987259,-0.019303354,0.078045884,0.01851689,0.015764711,-0.134247831,-0.097978447,0.023311595,0.143134022,0.119876028,-0.154780033,-0.013889654,-0.020041858,0.023409225,0.205456017,0.104074254,0.081076221,0.405646182,0.140176124,0.136199458,0.063593597,0.037033168,-0.0362304,0.247790088,-0.047240152,0.105449095,-0.059903735,-0.146377488,0.061910349,0.049681242,0.034461506,-0.111580556,0.074965496,0.375513162,0.018729408,-0.099510603,-0.056594559,0.201672005,-0.117841618,-0.012272845,-0.060317933,-0.022767159,-0.074368086,0.097351272,-0.120948423,-0.072190617,0.166257014,0.020226944,0.012666784,0.027042627,-0.032873439,-0.211253747,0.002497248,-0.244859754,-0.098245085,-0.026503501,0.155269466,0.054435056,-0.016232657,0.029856617,0.056458419
-0.006680277,-0.05062982,-0.1413725,-0.086419768,-0.176375398,0.054584629,-0.077105556,-0.019849712,0.146067966,-0.095166259,-0.045991656,-0.174404507,-0.030379351,0.063739346,-0.046059424,0.097124545,-0.101853868,-0.008939019,0.077293308,-0.032321223,0.052032597,0.05800994,-0.278923621,-0.159454467,-0.082108817,0.010611925,0.088178208,0.075719649,0.06889718,-0.106684546,-0.057315748,0.020824532,0.045593758,-0.064369125,0.043981765,0.010753646,0.044159991,0.013656073,-0.035991428,0.115390361,0.108105209,0.067522247,-0.108273934,-0.025984291,-0.0621294,0.007625078,0.109445532,-0.008393454,0.054903523,-0.140371858,0.004825245,-0.073602507,-0.037751173,0.095098044,0.192351202,-0.078225243,0.357383271,0.247277159,0.215916697,-0.102251431,0.078772843,-0.085362983,0.057996553,-0.101435187,-0.023200686,0.003688262,-0.045236154,0.054523434,-0.086072455,0.069313945,0.027314008,-0.018197521,0.108532996,0.112471218,-0.00748334,-0.183821237,0.077197927,-0.021756005,-0.000274892,0.013517242,0.030608349,0.007153872,0.117449397,-0.118272038,-0.006585595,0.014985339,-0.062319484,-0.040486729,-0.053370829,-0.020873042,0.020183351,0.03448359,-0.046797927,-0.058650271,-0.090711155,0.058717735,0.061150596,0.023132288,0.010252148,-0.071695133
-0.173207823,0.508935794,-0.161871487,-0.137110406,-0.29137702,0.085379337,0.267970052,-0.182203176,0.027526103,-0.013127099,-0.252865391,0.189939105,0.36471928,0.08270573,0.108985901,0.175809621,-0.292080752,-0.087452912,-0.105897439,0.091464914,0.115914292,0.237711918,-0.32324366,-0.051014518,0.197693883,-0.173091162,0.13660827,-0.039873028,0.008649541,-0.227129604,-0.249185995,-0.14478982,0.039008721,0.034714537,0.087838371,0.152546973,-0.117712035,-0.028233817,-0.249458806,-0.082692744,-0.020194167,0.25009259,0.115898645,-0.120425929,0.092728917,0.319969623,0.099798282,0.20269716,-0.013134046,0.040967618,-0.165132498,-0.408009072,0.188686482,0.390146652,0.235337309,-0.169817411,0.45232801,0.312168929,0.319617487,-0.255010589,-0.160659899,0.010682718,0.095116852,0.018437947,0.097417832,0.090553346,0.023842189,0.2244168,-0.081104328,0.149066116,-0.16833852,0.260043428,0.5349954,0.055582311,-0.159765213,-0.169599222,-0.058905535,0.147630458,-0.04955049,0.030700441,-0.241781378,0.285936397,-0.169914487,-0.002986621,0.063975339,0.275210902,-0.0028242,-0.109472429,0.090561928,-0.179344802,0.015781586,-0.066671089,-0.16949336,-0.166123103,-0.222225566,0.256532001,0.030605715,-0.073591656,-0.005223917,0.247982556
0.028511185,0.030242005,-0.200934777,0.074248148,0.019508637,-0.080044302,-0.019963527,0.357103549,-0.075115779,-0.596480598,0.313053914,-0.039265727,-0.174079342,-0.213162123,0.0854025,-0.032769615,0.070689371,-0.095494163,0.208683778,-0.217287299,-0.067414293,0.161403762,-0.275579252,0.3465606,0.059442723,-0.011748919,0.009164615,-0.038041765,0.064600168,-0.169827161,-0.069245094,-0.101033379,-0.031467595,-0.077933989,-0.05343807,-0.135087155,0.075246749,-0.801536899,-0.006516938,0.133309068,-0.437459647,-0.391247337,0.066186598,0.037820999,0.187609759,0.40985138,-0.142296666,0.528157879,-0.140112728,0.185239831,0.392111803,-0.11791528,-0.04427012,-0.054663059,-0.130092805,0.100242341,-0.168926842,-0.050898119,-0.159537687,0.414969015,-0.119038163,-0.220169947,-0.017874101,-0.406617713,-0.300673272,-0.015986989,0.026292435,0.181454797,0.292847572,-0.219709991,-0.051683323,0.353403278,0.358243392,-0.095041217,0.119901488,0.037811869,-0.024836951,-0.10014757,-0.240552053,0.437210442,0.553746008,0.010976041,0.171893217,0.206729061,0.72453218,0.026782348,-0.088502688,-0.001391341,0.001369981,-0.15233764,0.160094786,-0.116603853,0.004490001,-0.485681946,0.356081554,-0.434465221,-0.279264174,0.36967818,-0.378506659,-0.137048287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.138924303,-0.16240804,-0.001240429,0.069045088,-0.234025662,0.014323875,-0.013658333,-0.165213725,0.181004178,-0.110898661,-0.03724695,-0.085930242,0.058164666,0.160921718,0.068728421,-0.022517514,-0.117811496,0.094468593,0.053454116,-0.11245693,-0.207033906,0.175279976,-0.197393322,-0.042068511,0.033987691,-0.026555218,0.258044961,0.04511948,0.024715117,-0.153816636,-0.131098615,0.303837381,0.09180004,0.035244264,0.034918866,-0.11482875,0.146217413,0.055495039,0.277043331,-0.096799413,0.174830521,0.168046505,-0.075319678,-0.137393336,-0.002874178,-0.050330604,0.094495401,-0.044106075,0.022169834,-0.034331081,0.039305528,0.116738712,-0.270570033,0.170550486,0.248991359,-0.06413839,0.485605484,0.297471006,0.143529544,-0.203782223,-0.084807932,-0.121573536,0.274519803,-0.007887853,0.063325613,-0.178012834,-0.002437985,0.067997447,-0.013333645,0.117833383,0.030993658,0.052639575,0.451720983,0.122673951,-0.02441723,-0.214896658,0.085813903,-0.03752275,-0.01453777,0.074334258,0.022479343,-0.069870415,0.165291896,-0.057126209,-0.092905312,0.289257738,-0.054941263,-0.089082915,0.103415692,0.165023371,0.031207327,-0.099612619,-0.326301782,-0.113550767,-0.12128417,0.133081563,0.044376111,0.117952019,0.388295117,-0.046233007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
