,url,start,end,subtitle
20394,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:09:26,509","00:09:32,716",(박수)
20455,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:13:06,449","00:13:10,559",(박수)
20457,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:16:47,461","00:16:53,082",(박수와 환호)
20458,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:17:00,782","00:17:02,686",여러분 다시 한 번  박수 부탁드릴께요!
20459,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:17:02,686","00:17:05,266",(박수와 환호)
20483,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:19:30,260","00:19:34,500",(박수)
20493,https://www.youtube.com/watch?v=EysAiY8Lg8o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=81,"00:20:04,811","00:20:07,731",(박수)
20816,https://www.youtube.com/watch?v=MpBlz_3VNIs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=83,"00:00:07,723","00:00:11,583",(환호와 박수)
21082,https://www.youtube.com/watch?v=MpBlz_3VNIs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=83,"00:15:35,195","00:15:36,465",오~ (박수)
21105,https://www.youtube.com/watch?v=2XK4kEL7D1M&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=84,"00:00:03,890","00:00:12,520",(박수)
21416,https://www.youtube.com/watch?v=2XK4kEL7D1M&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=84,"00:14:47,754","00:14:50,380",(박수)
21417,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:07,868","00:00:12,717",(박수와 환호)
21420,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:15,533","00:00:19,467",(박수와 환호)
21829,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,310","00:00:10,246",(박수)
21939,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:26,315","00:07:30,045",(박수)
21982,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:09:59,684","00:10:06,394",(웃음과 박수)
22039,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:15,651","00:13:21,761",(박수)
22047,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:53,221","00:13:59,061",(박수)
22068,https://www.youtube.com/watch?v=B4yEaO9ZT88&index=86&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:15,941","00:15:20,941","""박수 받을 자리에 서지 않는 것도 어쩌면 현명한 일일 수도 있어"""
22090,https://www.youtube.com/watch?v=1CdWEC6WZwM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=87,"00:00:04,490","00:00:10,054",(박수와 환호)
22092,https://www.youtube.com/watch?v=1CdWEC6WZwM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=87,"00:00:20,256","00:00:23,526",(박수)
22496,https://www.youtube.com/watch?v=v89KQY4jG5E&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=88,"00:00:05,043","00:00:08,290",(박수)
22498,https://www.youtube.com/watch?v=v89KQY4jG5E&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=88,"00:00:15,224","00:00:17,546",(박수)
22757,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:00:40,620","00:00:46,720",(관객 박수)
22924,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:07:54,287","00:07:56,478",보통 사람들이 이렇게 박수를 쳐주세요
22925,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:07:56,478","00:08:00,346",쳐주시는데 항상 박수 뒤에는 씁쓸한 질문을 하십니다
23124,https://www.youtube.com/watch?v=t2efTQJjQ3o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=90,"00:00:10,928","00:00:18,488",(박수와 환호)
23270,https://www.youtube.com/watch?v=t2efTQJjQ3o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=90,"00:07:00,602","00:07:03,893",(박수)
23307,https://www.youtube.com/watch?v=t2efTQJjQ3o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=90,"00:08:55,378","00:08:59,530",(박수)
23313,https://www.youtube.com/watch?v=t2efTQJjQ3o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=90,"00:09:20,892","00:09:23,383",(박수)
23695,https://www.youtube.com/watch?v=aij9Q_tEO-I&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=92,"00:00:04,161","00:00:08,231",(박수)
23962,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:00:23,974","00:00:26,524",(박수)
24032,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:05:49,343","00:05:54,333",(박수)
24051,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:07:24,336","00:07:26,746",(박수)
24058,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:08:02,478","00:08:06,028",(박수)
24124,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:13:29,503","00:13:31,930",(박수)
24138,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:14:34,624","00:14:41,189",(박수)
24165,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:04,271","00:00:15,262",(박수와 환호)
24271,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:06:28,812","00:06:31,504",물론 일등은 박수를 받습니다
24272,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:06:31,504","00:06:37,310",꼴등은요 박수는 기본적으로 받고 다른 사람들한테 감동을 줍니다
24409,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:37,882","00:15:41,424",(박수)
24411,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:15,021","00:00:20,759",(박수와 환호)
24428,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:10,473","00:01:13,555",(박수)
24507,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:04,534","00:05:08,520",(웃음과 박수)
24589,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:08:48,025","00:08:51,380",(박수)
24614,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:09:45,742","00:09:47,664",(박수)
24657,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:45,510","00:11:49,164",(웃음과 박수)
25081,https://www.youtube.com/watch?v=wbVMLu1iXWo&index=98&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:57,561","00:03:58,825",한번 박수 한번 칠까요
25082,https://www.youtube.com/watch?v=wbVMLu1iXWo&index=98&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:58,825","00:04:01,829",(박수)
25214,https://www.youtube.com/watch?v=wbVMLu1iXWo&index=98&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:06,296","00:11:09,501",박수 치면서 힘차게  불러 보도록 하겠습니다
25306,https://www.youtube.com/watch?v=dnGyOipKyfk&index=99&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:02:22,054","00:02:25,055",(박수)
25379,https://www.youtube.com/watch?v=dnGyOipKyfk&index=99&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:56,479","00:05:59,261",(웃음과 박수)
26116,https://www.youtube.com/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102,"00:01:05,388","00:01:07,199",박수 받고 갈채를 받을까?
