,url,start,end,subtitle
9664,https://www.youtube.com/watch?v=Dd1k0toSfOk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39,"00:15:52,539","00:15:56,319",(박수와 환호)
9683,https://www.youtube.com/watch?v=Xh6IrVHSmHs&index=40&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,283","00:00:11,862",(박수)
9846,https://www.youtube.com/watch?v=Xh6IrVHSmHs&index=40&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:41,579","00:13:47,039",(박수)
10155,https://www.youtube.com/watch?v=euefb-dITbo&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=42,"00:00:04,611","00:00:13,765",(박수와 환호)
10172,https://www.youtube.com/watch?v=euefb-dITbo&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=42,"00:01:06,987","00:01:11,182",(박수와 환호)
10372,https://www.youtube.com/watch?v=euefb-dITbo&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=42,"00:13:38,234","00:13:41,638",(박수와 환호)
10406,https://www.youtube.com/watch?v=euefb-dITbo&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=42,"00:15:44,669","00:15:50,771",(박수)
10939,https://www.youtube.com/watch?v=re7PbMUNJLk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45,"00:00:08,651","00:00:13,668",(박수)
11097,https://www.youtube.com/watch?v=re7PbMUNJLk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45,"00:10:42,690","00:10:46,139",(박수)
11120,https://www.youtube.com/watch?v=re7PbMUNJLk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45,"00:12:08,678","00:12:13,783",(박수)
11203,https://www.youtube.com/watch?v=7SNGN_stO-o&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=46,"00:00:05,172","00:00:10,926",(박수와 환호)
